date,aqi,hotspot_count,hotspot_count_high,total_frp,mean_frp,max_frp,product,frp_lag1,count_lag1,frp_lag2,count_lag2,frp_lag3,count_lag3,frp_roll3,frp_roll7,aqi_roll3,aqi_roll7,log_frp,log_count,frp_cumsum,aqi_delta,frp_delta,frp_norm,frp_z,aqi_z,fire_cat
2025-09-21,120.77083333333333,10,0,45.68,4.57,8.13,VIIRS_SNPP_SP,12.99,3.0,51.96,10.0,77.1,27.0,36.87666666666667,71.89,141.125,138.35119047619048,3.8433158074183553,2.3978952727983707,638.5,-26.375000000000014,32.69,0.014815007005344818,-0.668885661788562,-1.0947318543308204,Low
2025-09-22,126.16666666666667,26,0,141.84,5.46,20.48,VIIRS_SNPP_SP,45.68,10.0,12.99,3.0,51.96,10.0,66.83666666666667,82.34428571428573,131.36111111111111,137.33928571428572,4.961725122726247,3.295836866004329,780.34,5.395833333333343,96.16,0.046001764309065434,-0.5483816653238718,-0.9565168836863004,Low
2025-09-23,134.85416666666666,26,0,106.45,4.09,17.42,VIIRS_SNPP_SP,141.84,26.0,45.68,10.0,12.99,3.0,97.99000000000001,76.46428571428571,127.26388888888887,138.05059523809524,4.67702562308852,3.295836866004329,886.7900000000001,8.687499999999986,-35.39,0.03452402573815578,-0.5927310458863239,-0.7339854444632706,Low
2025-09-24,147.54166666666666,57,0,262.79,4.61,14.56,VIIRS_SNPP_SP,106.45,26.0,141.84,26.0,45.68,10.0,170.36,99.83,136.1875,140.88095238095238,5.5751533320590205,4.060443010546419,1149.5800000000002,12.6875,156.34000000000003,0.0852284520782523,-0.3968117987223298,-0.4089934864612915,Low
2025-09-25,149.41666666666666,25,0,99.37,3.97,7.55,VIIRS_SNPP_SP,262.79,57.0,106.45,26.0,141.84,26.0,156.20333333333335,103.01142857142857,143.9375,140.19345238095238,4.608863357825709,3.258096538021482,1248.9500000000003,1.875,-163.42000000000002,0.03222782938093508,-0.601603428321536,-0.3609651182836592,Low
2025-09-26,128.66666666666666,18,0,68.2,3.79,6.31,VIIRS_SNPP_SP,99.37,25.0,262.79,57.0,106.45,26.0,143.45333333333335,105.33142857142857,141.875,136.36607142857142,4.237000862623624,2.9444389791664403,1317.1500000000003,-20.75,-31.17,0.022118727621815163,-0.6406644679409661,-0.8924790594494575,Low
2025-09-27,158.29166666666666,37,0,176.49,4.77,11.66,VIIRS_SNPP_SP,68.2,18.0,99.37,25.0,262.79,57.0,114.68666666666668,128.68857142857144,145.45833333333334,137.95833333333331,5.178914269300255,3.6375861597263857,1493.6400000000003,29.625,108.29,0.05723950495563282,-0.50495962416849,-0.1336308422428659,Low
2025-09-28,133.08333333333334,75,0,310.86,4.14,32.2,VIIRS_SNPP_SP,176.49,37.0,68.2,18.0,99.37,25.0,185.18333333333337,166.57142857142858,140.01388888888889,139.7172619047619,5.742554369156739,4.330733340286331,1804.5000000000005,-25.208333333333314,134.37,0.10081858751491879,-0.3365723321035938,-0.7793455699643674,Low
2025-09-29,111.33333333333333,84,0,408.52,4.86,47.61,VIIRS_SNPP_SP,310.86,75.0,176.49,37.0,68.2,18.0,298.6233333333334,204.66857142857143,134.23611111111111,137.59821428571428,6.014985742149328,4.442651256490317,2213.0200000000004,-21.750000000000014,97.65999999999997,0.13249182709771157,-0.21418859359754513,-1.3364746408249035,Low
2025-09-30,115.8125,31,0,147.68,4.76,13.84,VIIRS_SNPP_SP,408.52,84.0,310.86,75.0,176.49,37.0,289.02000000000004,210.55857142857144,120.0763888888889,134.8779761904762,5.001796345429051,3.4657359027997265,2360.7000000000003,4.479166666666671,-260.84,0.04789580198225313,-0.5410632029761826,-1.2217402057338926,Low
