name,location,distance_km,area_sqkm,avg_AQI,pm2_5,pm10,co,no2,traffic_raw,industrial_count,vehicular_pct,industrial_pct
Pusa,Connaught Place,5.838926826965298,4.452851485805787,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,194.0,7,33.21917808219178,70.0
RBI Colony,IGI Airport,5.164570043836783,0.02322182521515416,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,210.0,1,35.95890410958904,10.0
Railway Colony,Connaught Place,0.9410741135386582,0.07738605829300152,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,323.0,1,55.3082191780822,10.0
Rajokri,IGI Airport,4.97273186698508,0.8096636989421687,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,142.0,6,24.315068493150687,60.0
Rajouri Apartments,Rohini,7.788114708848963,0.043484462204647176,194.45308219178082,80.31478310502283,199.17309360730593,818.947602739726,33.86200913242009,139.0,3,23.8013698630137,30.0
Rajouri Garden,Rohini,7.048265913541792,0.9936034210014699,194.45308219178082,80.31478310502283,199.17309360730593,818.947602739726,33.86200913242009,248.0,3,42.465753424657535,30.0
Ramakrishna Puram,IGI Airport,7.601714843095843,4.205660086128886,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,532.0,1,91.0958904109589,10.0
Sadh Nagar I,IGI Airport,3.4929327684163822,0.14192742976292191,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,116.0,1,19.863013698630137,10.0
Sadh Nagar II,IGI Airport,3.88969050857268,0.3992626993386426,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,154.0,1,26.36986301369863,10.0
Safdarjung Enclave,Connaught Place,7.705413941426488,0.7715594786331437,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,478.0,1,81.84931506849315,10.0
Salaria Enclave,Dwarka,3.130176463975467,0.18716524617739516,380.2753424657534,98.7700799086758,401.75230593607307,806.033105022831,37.02350456621005,76.0,3,13.013698630136986,30.0
Sanjay Van,Okhla Phase III,8.112905398192703,2.485779148614367,380.2753424657534,98.7700799086758,401.75230593607307,898.2611872146118,37.02350456621005,309.0,1,52.910958904109584,10.0
Sarojini Nagar,Connaught Place,6.391293176531122,1.2872156192026225,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,394.0,1,67.46575342465754,10.0
Satya Niketan,Connaught Place,6.7266957300683226,0.045122422437813885,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,226.0,1,38.6986301369863,10.0
Shahbad Muhammadpur,IGI Airport,2.8210985133739177,0.5317893896296146,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,74.0,5,12.67123287671233,50.0
Shantiniketan,IGI Airport,7.126091216045267,0.26659164495554916,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,310.0,1,53.082191780821915,10.0
South Moti Bagh,Connaught Place,7.100952203555377,0.6151277281826452,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,331.0,1,56.678082191780824,10.0
Vasant Enclave,IGI Airport,6.109572968567277,0.08507541398971688,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,239.0,1,40.92465753424658,10.0
Vivanta by TAJ,Dwarka,3.613059825738791,0.029541657817435472,380.2753424657534,98.7700799086758,401.75230593607307,806.033105022831,37.02350456621005,53.0,2,9.075342465753424,20.0
Ward_1740870590,Connaught Place,7.245237864232468,0.0,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,235.0,1,40.23972602739726,10.0
Ward_1740890845,Connaught Place,7.027964908294456,0.0,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,145.0,1,24.82876712328767,10.0
Ward_1740893951,Connaught Place,6.736969750620955,0.0,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,213.0,1,36.47260273972603,10.0
Ward_2009680704,IGI Airport,4.884533812895541,0.0,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,101.0,1,17.294520547945204,10.0
Ward_2691243436,IGI Airport,5.069419636907305,0.0,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,56.0,1,9.58904109589041,10.0
Ward_2691422601,IGI Airport,5.832874075690599,0.0,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,83.0,1,14.212328767123289,10.0
Ward_2691476704,IGI Airport,3.715921967153134,0.0,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,125.0,5,21.404109589041095,50.0
Ward_2696397488,Rohini,6.865971441818496,0.0,194.45308219178082,80.31478310502283,199.17309360730593,818.947602739726,33.86200913242009,154.0,3,26.36986301369863,30.0
Ward_2706749980,Connaught Place,6.907513118143239,0.0,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,87.0,2,14.897260273972604,20.0
Ward_2706749984,Connaught Place,7.78704367389872,0.0,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,95.0,2,16.267123287671232,20.0
Ward_2708391500,Rohini,8.023587452854045,0.0,194.45308219178082,80.31478310502283,199.17309360730593,818.947602739726,33.86200913242009,125.0,2,21.404109589041095,20.0
Ward_2794351207,IGI Airport,6.505379980581808,0.0,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,216.0,1,36.986301369863014,10.0
Ward_2794451236,IGI Airport,6.722453945666159,0.0,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,215.0,1,36.81506849315068,10.0
Ward_2794451240,IGI Airport,7.197403536579872,0.0,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,213.0,1,36.47260273972603,10.0
Ward_2798637566,Okhla Phase III,6.789719668383999,0.0,380.2753424657534,98.7700799086758,401.75230593607307,898.2611872146118,37.02350456621005,287.0,1,49.14383561643836,10.0
Ward_2809115218,Connaught Place,6.770416649983332,0.0,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,202.0,1,34.58904109589041,10.0
Ward_2814771709,Rohini,7.343836415736985,0.0,194.45308219178082,80.31478310502283,199.17309360730593,818.947602739726,33.86200913242009,160.0,3,27.397260273972602,30.0
Ward_2814771712,Rohini,8.111810773701807,0.0,194.45308219178082,80.31478310502283,199.17309360730593,818.947602739726,33.86200913242009,123.0,2,21.06164383561644,20.0
Ward_2814771713,Rohini,7.710260396197894,0.0,194.45308219178082,80.31478310502283,199.17309360730593,818.947602739726,33.86200913242009,154.0,5,26.36986301369863,50.0
Ward_2815028189,Rohini,7.789832142572225,0.0,194.45308219178082,80.31478310502283,199.17309360730593,818.947602739726,33.86200913242009,136.0,3,23.28767123287671,30.0
Ward_2822308913,IGI Airport,6.673552193139324,0.0,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,105.0,1,17.97945205479452,10.0
Ward_2822308914,IGI Airport,8.409639456303035,0.0,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,98.0,2,16.78082191780822,20.0
Ward_2822308916,Connaught Place,7.888112361163851,0.0,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,107.0,2,18.32191780821918,20.0
Ward_2822308918,Connaught Place,7.521760921127613,0.0,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,110.0,4,18.835616438356166,40.0
Ward_2822422558,Connaught Place,7.197686670717247,0.0,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,227.0,1,38.86986301369863,10.0
Ward_2826079162,Connaught Place,7.203295144174606,0.0,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,98.0,2,16.78082191780822,20.0
Ward_2835233508,IGI Airport,4.717921786595226,0.0,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,120.0,1,20.54794520547945,10.0
Ward_2835233509,IGI Airport,3.9316141356722336,0.0,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,80.0,1,13.698630136986301,10.0
Ward_2835235997,IGI Airport,3.4478013352729504,0.0,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,84.0,1,14.383561643835616,10.0
Ward_316376860,Connaught Place,7.076379114664676,0.0,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,203.0,1,34.76027397260274,10.0
Ward_325522712,IGI Airport,7.380343474191919,0.0,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,235.0,1,40.23972602739726,10.0
Ward_3538431,IGI Airport,5.746841924345599,0.11752818952115503,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,93.0,1,15.924657534246576,10.0
Ward_3538505,IGI Airport,6.305402448413983,0.06493448051260146,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,87.0,1,14.897260273972604,10.0
Ward_3538509,IGI Airport,6.28988848426979,0.03039035989717337,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,85.0,1,14.554794520547945,10.0
Ward_3538511,IGI Airport,5.928317044338327,0.07071096771609024,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,93.0,1,15.924657534246576,10.0
Ward_3538512,IGI Airport,6.840056412934828,0.04242588746554086,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,85.0,1,14.554794520547945,10.0
Ward_3538513,IGI Airport,6.968172322633244,0.1390235171645606,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,106.0,1,18.15068493150685,10.0
Ward_3538514,IGI Airport,6.893299871611431,0.06719587672641991,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,87.0,1,14.897260273972604,10.0
Ward_355436048,Connaught Place,6.542409993246511,0.0,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,271.0,1,46.4041095890411,10.0
Ward_3656840,Connaught Place,6.640221581680871,0.49129466722105136,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,299.0,1,51.1986301369863,10.0
Ward_3691016,IGI Airport,7.11246932327027,0.7041600557580305,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,196.0,3,33.56164383561644,30.0
Ward_3691272,Connaught Place,5.945569401082701,0.029095995217277328,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,320.0,1,54.794520547945204,10.0
Ward_3724218,IGI Airport,3.5223403375931324,0.03603985521437823,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,228.0,1,39.04109589041096,10.0
Ward_3724219,IGI Airport,5.839016867458152,0.0711435626413694,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,91.0,1,15.582191780821919,10.0
Ward_3724390,IGI Airport,4.078081184993776,5.222697264854198,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,584.0,1,100.0,10.0
